x_m,y_m,y_p
2789.959396627643,2.21682407553177e-05,1.2432381083527984e-08
3112.236776378397,2.208075771934495e-05,1.7386179726408532e-08
3471.741475503245,9.897128963856072e-06,3.8764710461367805e-08
3872.773744019277,9.759490980286254e-06,6.699334600439076e-08
4320.130567956824,1.033958449709909e-05,4.78521641347934e-08
4819.163048968977,0.0,6.650473200505555e-08
5375.840412048416,6.391609586328957e-07,4.722988738886798e-08
5996.821406985957,8.021646651186601e-06,4.5346852075090114e-08
6689.533957646278,6.677349323390965e-06,6.616175373705045e-08
7462.2640117932515,9.209074634164948e-06,2.632720961586176e-07
8324.254654250635,7.017140478871857e-06,3.706820988280138e-07
9285.81666894972,2.775222229008581e-05,1.12748009613916e-06
10358.451872362464,6.534735003372828e-05,3.252249865946081e-06
11554.990693584901,6.036469977992901e-05,5.60533206196576e-06
12889.74564674807,5.171469760889519e-05,6.552066204312794e-06
14378.682531531722,3.3216380931460795e-05,4.9910692128389074e-06
16039.611409611902,1.7351929862978232e-05,2.3976193561099627e-06
17892.39964142569,1.459491632683492e-05,1.828080430330193e-06
19959.209531513,5.508879186097632e-06,1.1536452355317858e-06
22264.76342505262,5.092751227832548e-06,1.1183088623354726e-06
24836.639426570648,3.596972543564301e-06,1.1230570831241095e-06
27705.60127808887,5.45684607875111e-06,1.6059927047543082e-06
30905.96634258208,3.3353048467747324e-06,1.2985487024762138e-06
34476.01609441423,4.086235467993685e-06,1.2514503005141657e-06
38458.45402687408,1.4295020008121016e-06,9.61285495319375e-07
42900.91645411489,2.162488475094267e-06,1.1872167159847935e-06
47856.54231750568,2.72834248993968e-06,2.155113061166536e-06
53384.60881218639,5.792726871858612e-07,9.09264876291891e-07
59551.24043693564,1.7886587393707409e-06,1.860613295206004e-06
66430.19994871964,9.827536115143352e-07,3.227177819892832e-06
74103.77068299992,6.027811356182169e-07,2.863940242716032e-06
82663.74079376036,2.909642238253513e-07,1.196703781395858e-06
92212.50118633473,9.688134357320604e-07,2.1686016598290298e-06
102864.27027606306,2.27143843567898e-06,6.827572925367205e-06
114746.46022284645,1.4972258423263466e-07,2.843981890021298e-06
128001.20098394592,4.026556725416948e-07,1.6580108774848525e-06
142787.0404151287,1.9251199835686138e-07,1.4762252898069502e-06
159280.84075608558,3.0200984706489333e-07,1.715772717325488e-06
177679.89418511267,3.480894216290261e-07,3.4177986891604424e-06
198204.28274846784,3.293799609571165e-07,6.050948516546132e-06
221099.5108929222,1.1810884365970729e-06,1.1191310907333389e-05
246639.44209080047,3.622158294490951e-07,4.8164596423015e-06
275129.5746842316,1.1239884275070466e-07,8.372470612127718e-07
306910.6961329349,0.0,1.184769986754064e-07
342362.95937617787,0.0,0.0
381910.43006870337,8.996945463375374e-09,1.613069952065919e-07
426026.15908282454,0.0,2.4018061139320065e-08
475237.840951905,0.0,0.0
